player_id,first_name,last_name,name,team_id,team_name,position,jersey_number,height,birthdate,hometown,image_url
52,Zoe,Boyd,Zoe Boyd,1,Boston Fleet,D,3,5'8,2000-08-09,"Caledon East, ON",https://assets.leaguestat.com/pwhl/240x240/52.jpg
12,Megan,Keller,Megan Keller,1,Boston Fleet,D,5,5'11,1996-05-01,"Farmington, MI",https://assets.leaguestat.com/pwhl/240x240/12.jpg
182,Hadley,Hartmetz,Hadley Hartmetz,1,Boston Fleet,D,6,5'5,2001-03-25,"Phoenixville, PA",https://assets.leaguestat.com/pwhl/240x240/182.jpg
254,Mia,Biotti,Mia Biotti,1,Boston Fleet,D,7,,2002-07-24,"Cambridge, MA",https://assets.leaguestat.com/pwhl/240x240/254.jpg
246,Haley,Winn,Haley Winn,1,Boston Fleet,D,8,5'6,2003-07-14,"Rochester, NY",https://assets.leaguestat.com/pwhl/240x240/246.jpg
18,Sophie,Shirley,Sophie Shirley,1,Boston Fleet,F,9,5'9,1999-06-30,"Saskatoon, SK",https://assets.leaguestat.com/pwhl/240x240/18.jpg
15,Alina,Müller,Alina Müller,1,Boston Fleet,F,11,"5'5""",1998-03-12,"Winterthur, SWI",https://assets.leaguestat.com/pwhl/240x240/15.jpg
97,Liz,Schepers,Liz Schepers,1,Boston Fleet,F,13,5'7,1999-02-13,"Mound, MN",https://assets.leaguestat.com/pwhl/240x240/97.jpg
256,Olivia,Mobley,Olivia Mobley,1,Boston Fleet,C,15,,2001-10-28,"St. Louis Park, MN",https://assets.leaguestat.com/pwhl/240x240/256.jpg
255,Riley,Brengman,Riley Brengman,1,Boston Fleet,D,16,,2002-07-06,"China Township, MI",https://assets.leaguestat.com/pwhl/240x240/255.jpg
17,Theresa,Schafzahl,Theresa Schafzahl,1,Boston Fleet,F,17,5'8,2000-04-12,"Weiz, AUT",https://assets.leaguestat.com/pwhl/240x240/17.jpg
259,Abby,Newhook,Abby Newhook,1,Boston Fleet,C,19,,2003-05-13,"St John's, NL",https://assets.leaguestat.com/pwhl/240x240/259.jpg
1,Hannah,Brandt,Hannah Brandt,1,Boston Fleet,F,20,"5'6""",1993-11-27,"Vadnais Heights, MN",https://assets.leaguestat.com/pwhl/240x240/1.jpg
212,Laura,Kluge,Laura Kluge,1,Boston Fleet,F,25,5'10,1996-11-06,"Berlin, GER",https://assets.leaguestat.com/pwhl/240x240/212.jpg
243,Ella,Huber,Ella Huber,1,Boston Fleet,F,26,5'5,2002-12-18,"Northfield, IL",https://assets.leaguestat.com/pwhl/240x240/243.jpg
183,Shay,Maloney,Shay Maloney,1,Boston Fleet,F,27,5'9,2000-01-13,"McHenry, IL",https://assets.leaguestat.com/pwhl/240x240/183.jpg
262,Amanda,Thiele,Amanda Thiele,1,Boston Fleet,G,30,,2002-06-30,"Milford, MI",https://assets.leaguestat.com/pwhl/240x240/262.jpg
